Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Angular Velocity x, Angular Velocity y, Angular Velocity z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering
2.341624, -1.289569, 0.08693408, -32.72655, -0.003733088, 0.0697549, 0.0002324386, -0.001818166, -7.036519E-07, 0.000275564, -7.253715E-06, -0.001974031, -8.478326E-05, 0.06425682, 0, -0.02351788
2.358109, -1.289567, 0.08690161, -32.72654, -0.003748196, 0.0697549, 0.0002336588, -0.001818166, -7.036519E-07, 0.000275564, -7.253715E-06, -0.001974031, -8.478326E-05, 0.0619461, 0, -0.02351651
2.37505, -1.289566, 0.08686738, -32.72654, -0.003761405, 0.06975488, 0.0002347921, -0.001512211, -6.863388E-07, 0.0002380101, -5.332941E-06, -0.002029076, -7.031569E-05, 0.07349951, 0, -0.0235223
2.391544, -1.289565, 0.08683424, -32.72653, -0.003772164, 0.06975487, 0.000235771, -0.001199634, -3.704881E-07, 0.0001971601, -3.354557E-06, -0.002005935, -5.557725E-05, 0.07234415, 0, -0.0235288
2.40818, -1.289564, 0.0868017, -32.72652, -0.003780958, 0.06975487, 0.0002366262, -0.0008905887, -1.004046E-07, 0.000154823, -1.419911E-06, -0.00191161, -4.105344E-05, 0.06171492, 0, -0.02353036
2.424923, -1.289563, 0.08677049, -32.72652, -0.003787742, 0.06975486, 0.0002373479, -0.0005907462, 8.70341E-09, 0.0001130007, 4.215676E-07, -0.001759186, -2.700722E-05, 0.07396169, 0, -0.02352866
2.441417, -1.289562, 0.08674181, -32.72652, -0.003792461, 0.06975487, 0.0002379224, -0.0003049386, 2.022562E-07, 7.169545E-05, 2.1808E-06, -0.001563638, -1.365337E-05, 0.07488587, 0, -0.0235284
2.458229, -1.289562, 0.08671541, -32.72651, -0.003795066, 0.06975488, 0.0002383447, -0.0003049386, 2.022562E-07, 7.169545E-05, 2.1808E-06, -0.001563638, -1.365337E-05, 0.06356346, 0, -0.02352836
2.474966, -1.289562, 0.08669276, -32.72651, -0.003795647, 0.06975487, 0.0002386087, -3.860047E-05, 3.397768E-07, 3.210232E-05, 3.799498E-06, -0.001334265, -1.243202E-06, 0.06171492, 0, -0.02352989
2.491661, -1.289561, 0.08667333, -32.72652, -0.003794552, 0.06975488, 0.0002387318, 0.0002053266, 5.604697E-07, -6.015911E-06, 5.320594E-06, -0.001092151, 1.009646E-05, 0.07604123, 0, -0.02353322
2.508148, -1.289561, 0.0866573, -32.72652, -0.003791964, 0.06975488, 0.0002387213, 0.0004233781, 5.938377E-07, -4.074246E-05, 6.643042E-06, -0.0008428693, 2.020608E-05, 0.0619461, 0, -0.02353434
2.524849, -1.289562, 0.08664434, -32.72652, -0.00378795, 0.06975489, 0.000238587, 0.0006142603, 5.181164E-07, -7.109753E-05, 7.748758E-06, -0.0005965829, 2.903329E-05, 0.0619461, 0, -0.02353879
2.541668, -1.289562, 0.08663472, -32.72652, -0.003782619, 0.06975489, 0.0002383368, 0.0007762974, 7.711778E-07, -9.936591E-05, 8.742666E-06, -0.0003625304, 3.651463E-05, 0.07511704, 0, -0.02353748
2.558168, -1.289562, 0.08662876, -32.72653, -0.003776171, 0.0697549, 0.0002379657, 0.0007762974, 7.711778E-07, -9.936591E-05, 8.742666E-06, -0.0003625304, 3.651463E-05, 0.06564318, 0, -0.02354032
2.575168, -1.289563, 0.08662583, -32.72653, -0.003768493, 0.06975491, 0.0002374777, 0.0009117482, 6.32358E-07, -0.0001228369, 9.540603E-06, -0.0001413822, 4.275158E-05, 0.06287028, 0, -0.02353951
2.591691, -1.289563, 0.08662581, -32.72654, -0.00376027, 0.06975491, 0.0002369206, 0.001019798, 6.210771E-07, -0.0001424268, 1.014865E-05, 6.227195E-05, 4.771509E-05, 0.07465487, 0, -0.02354151
2.608247, -1.289564, 0.08662825, -32.72654, -0.00375143, 0.06975492, 0.0002362938, 0.001100179, 5.546526E-07, -0.0001576548, 1.056161E-05, 0.0002390146, 5.138992E-05, 0.06587417, 0, -0.02354033
2.62497, -1.289565, 0.08663292, -32.72655, -0.003742026, 0.06975493, 0.0002356021, 0.001153276, 5.145098E-07, -0.0001687811, 1.078865E-05, 0.0003895313, 5.379746E-05, 0.0624081, 0, -0.02353117
2.641639, -1.289566, 0.08663958, -32.72656, -0.003732317, 0.06975494, 0.0002348646, 0.001179506, 5.506986E-07, -0.0001764394, 1.086276E-05, 0.0005084127, 5.495854E-05, 0.07465487, 0, -0.0235286
2.658555, -1.289567, 0.08664823, -32.72657, -0.003722266, 0.06975495, 0.0002340714, 0.001179506, 5.506986E-07, -0.0001764394, 1.086276E-05, 0.0005084127, 5.495854E-05, 0.07442386, 0, -0.023524
2.674918, -1.289567, 0.08665778, -32.72657, -0.003712521, 0.06975494, 0.0002332916, 0.001181129, 2.472912E-07, -0.00017835, 1.069313E-05, 0.0005936921, 5.49724E-05, 0.06171492, 0, -0.02352484
2.691312, -1.289568, 0.08666807, -32.72658, -0.003702882, 0.06975495, 0.0002325078, 0.001159269, 2.457386E-07, -0.0001770083, 1.039056E-05, 0.0006482899, 5.39007E-05, 0.07719658, 0, -0.02352022
2.708302, -1.289569, 0.08667925, -32.72659, -0.003693137, 0.06975496, 0.0002317059, 0.001115199, 7.984772E-08, -0.0001712924, 9.900808E-06, 0.0006744564, 5.179375E-05, 0.07604123, 0, -0.02352418
