Velocity y,Velocity x,Rotation, Angular Velocity y,Steering transferred,Steering
0.556295274,7.951636858,0.917895031,0.792195903,0.537654955,0.880153479
0.578417387,7.942998356,0.992278246,0.693909433,0.501707223,0.821306219
0.532134316,7.93587054,1.056992661,0.598212271,0.472999962,0.774311775
0.459795972,7.934106183,1.114527068,0.557230129,0.44847462,0.734163228
0.399378727,7.935418291,1.167486849,0.486442591,0.391055678,0.640167104
0.315224354,7.941845071,1.211380886,0.375369989,0.313320192,0.512912333
0.215738539,7.949545066,1.243365408,0.25618777,0.241046559,0.394598739
0.138577236,7.95544805,1.26438692,0.163393578,0.190239713,0.311426768
0.091762769,7.959292977,1.277890883,0.107532268,0.146897452,0.240474494
0.059461245,7.96132495,1.286915796,0.069031368,0.088804741,0.145375395
0.029433744,7.964193022,1.292174262,0.034121011,0.019794802,0.032404544
0.006942787,7.978354636,1.294317843,0.008493058,-0.026775452,-0.043832028
-0.003998854,7.995344586,1.294455424,-0.004957198,-0.028150155,-0.046082448
-0.005314914,7.998244761,1.29379669,-0.006564255,-0.008092129,-0.013247
-0.001839428,7.998304741,1.293319147,-0.002389337,0.003301347,0.005404381
0.000780096,7.99923683,1.293234406,0.000813267,0.022190678,0.036326649
0.004614262,8.000625944,1.293503032,0.005366751,0.041234153,0.067501253
0.009802729,8.002609657,1.29430523,0.011441368,0.060459564,0.098973691
0.014978819,8.00500307,1.295754449,0.017599907,0.056510063,0.092508268
0.012941606,8.007078695,1.297529015,0.015335171,-0.004356073,-0.007130992
-0.001596874,8.008540074,1.298400337,-0.001749966,-0.110240122,-0.180465606
-0.038099432,8.008918641,1.296521042,-0.044882194,-0.19622556,-0.321225738
-0.086745625,8.007115521,1.289317676,-0.103224753,-0.245463996,-0.401830185
-0.131080667,8.004269779,1.276455454,-0.156271166,-0.287930526,-0.471348867
-0.174725723,7.999938243,1.258412238,-0.208941724,-0.332523123,-0.54434797
-0.228638935,7.993614794,1.234683969,-0.272550974,-0.385509214,-0.631087415
-0.299239921,7.982788516,1.203651026,-0.358194732,-0.450115465,-0.736849328
-0.394788635,7.962003875,1.162545896,-0.474190781,-0.499476601,-0.817654639
-0.47614092,7.936150523,1.109877608,-0.573220966,-0.502882732,-0.823230554
-0.499250243,7.918031815,1.050662926,-0.605039831,-0.517602185,-0.847326635
-0.5284996,7.89727015,0.988741593,-0.642550807,-0.546499797,-0.894632688
-0.575672091,7.867477139,0.921662771,-0.698764714,-0.551403921,-0.902660851
-0.592524559,7.842639973,0.850308073,-0.720793947,-0.528857823,-0.865752372
-0.553211293,7.833401549,0.779653321,-0.672324445,-0.457982204,-0.749727361
-0.435747596,7.843822892,0.718990523,-0.525510738,-0.372730859,-0.610168956
-0.302925855,7.856709373,0.674499356,-0.364010696,-0.306242309,-0.501325676
-0.208799045,7.863891176,0.644210634,-0.247946594,-0.261943002,-0.428806695
